ANO;Índice de Desenvolvimento Humano 2010;Desigualdade de Renda;Educação Compulsória;Expectativa de Vida;Mortalidade antes dos 5 Anos;Município;Número de registros;População;Proporção de Educação Universitária;Região;Renda Per Capita;Rendimento de Trabalho;Taxa de Dependência;Unidade Federativa;Índice de Desenvolvimento Humano;Índice de Educação;Índice de Longevidade;Índice de Renda
1991;0;0,62;9,48;68,87;0,03175;Brasília;1;1553351;0,1171;Centro-Oeste;916;85,92;0,5701;Distrito Federal;0,616;0,419;0,731;0,762
2000;0;0,63;10,07;73,86;0,02404;Brasília;1;2010067;0,0744;Centro-Oeste;1199,44;76,87;0,4649;Distrito Federal;0,725;0,582;0,814;0,805
2010;0,824;0,63;9,87;77,35;0,01585;Brasília;1;2543802;0,0431;Centro-Oeste;1715,11;76,63;0,4014;Distrito Federal;0,824;0,742;0,873;0,863
1991;0;0,53;7,68;64,48;0,03568;Acreúna;1;14032;0,301;Centro-Oeste;331,6;94,18;0,6095;Goiás;0,429;0,2;0,658;0,599
2000;0;0,57;8,78;71,96;0,02681;Acreúna;1;18234;0,2322;Centro-Oeste;500,67;83,71;0,5224;Goiás;0,571;0,358;0,783;0,665
2010;0,686;0,53;9,78;74,29;0,01672;Acreúna;1;19925;0,183;Centro-Oeste;664,09;85,21;0,452;Goiás;0,686;0,553;0,822;0,71
1991;0;0,57;5,68;65,04;0,03395;Águas Lindas De Goiás;1;2336;0,3452;Centro-Oeste;335,23;94,57;0,766;Goiás;0,387;0,145;0,667;0,6
2000;0;0,45;7,26;70,74;0,02919;Águas Lindas De Goiás;1;104091;0,1622;Centro-Oeste;300,59;86,32;0,6666;Goiás;0,497;0,277;0,762;0,583
2010;0,686;0,43;9,3;75,85;0,01379;Águas Lindas De Goiás;1;158508;0,0922;Centro-Oeste;449,38;85,79;0,5192;Goiás;0,686;0,588;0,848;0,647
1991;0;0,51;7,92;63,83;0,043;Alexânia;1;16353;0,3907;Centro-Oeste;215,34;84,38;0,7146;Goiás;0,378;0,158;0,647;0,529
2000;0;0,54;8,15;69,07;0,03426;Alexânia;1;20250;0,2358;Centro-Oeste;335,05;75,96;0,5834;Goiás;0,52;0,318;0,735;0,6
2010;0,682;0,46;8,84;75,48;0,01481;Alexânia;1;23686;0,1473;Centro-Oeste;498,09;75,1;0,5152;Goiás;0,682;0,568;0,841;0,664
1991;0;0,56;8,96;65,18;0,03278;Anápolis;1;232958;0,1764;Centro-Oeste;457,07;87,04;0,5722;Goiás;0,518;0,32;0,67;0,65
2000;0;0,56;9,73;71,54;0,02769;Anápolis;1;280732;0,1146;Centro-Oeste;589,77;80,45;0,4988;Goiás;0,641;0,491;0,776;0,691
2010;0,737;0,5;9,82;74,33;0,01716;Anápolis;1;333067;0,0732;Centro-Oeste;785,17;80,45;0,4301;Goiás;0,737;0,66;0,822;0,737
1991;0;0,47;7,76;65,2;0,03333;Anicuns;1;18034;0,305;Centro-Oeste;251,3;89,86;0,6052;Goiás;0,428;0,211;0,67;0,554
2000;0;0,57;8,77;71,9;0,02694;Anicuns;1;18516;0,2066;Centro-Oeste;434,18;79,8;0,4916;Goiás;0,598;0,426;0,782;0,642
2010;0,714;0,46;10,47;75,01;0,01555;Anicuns;1;20020;0,1307;Centro-Oeste;604,97;80,43;0,4044;Goiás;0,714;0,627;0,834;0,695
1991;0;0,45;7,59;64,48;0,03508;Aparecida De Goiânia;1;171627;0,197;Centro-Oeste;303,36;91,69;0,666;Goiás;0,445;0,229;0,658;0,584
2000;0;0,46;8,99;71,71;0,02731;Aparecida De Goiânia;1;329256;0,117;Centro-Oeste;399,29;86,09;0,5329;Goiás;0,582;0,403;0,779;0,628
2010;0,718;0,47;9,31;75,01;0,01555;Aparecida De Goiânia;1;452269;0,0682;Centro-Oeste;689,3;84,03;0,4235;Goiás;0,718;0,62;0,834;0,716
1991;0;0,47;8,1;64,17;0,03674;Aragarças;1;13532;0,2513;Centro-Oeste;253,83;85,34;0,6446;Goiás;0,414;0,195;0,653;0,556
2000;0;0,52;9,07;70,85;0,02954;Aragarças;1;16365;0,176;Centro-Oeste;376,09;78,15;0,5193;Goiás;0,594;0,443;0,764;0,619
2010;0,732;0,45;10,56;74,82;0,01586;Aragarças;1;17842;0,1149;Centro-Oeste;600,03;77,82;0,4264;Goiás;0,732;0,68;0,83;0,694
1991;0;0,56;8,34;65,75;0,0316;Bela Vista De Goiás;1;14910;0,2684;Centro-Oeste;334,09;89,32;0,6127;Goiás;0,446;0,218;0,679;0,6
2000;0;0,46;8,35;71,41;0,02814;Bela Vista De Goiás;1;19060;0,1733;Centro-Oeste;386,79;80,52;0,5095;Goiás;0,56;0,365;0,774;0,623
2010;0,716;0,51;9,26;75,21;0,01522;Bela Vista De Goiás;1;24307;0,1157;Centro-Oeste;708,62;84,2;0,4303;Goiás;0,716;0,607;0,837;0,721
1991;0;0,52;9,33;66,06;0,03067;Bom Jesus De Goiás;1;13667;0,2813;Centro-Oeste;337,23;94,33;0,5558;Goiás;0,45;0,222;0,684;0,601
2000;0;0,58;8,47;71,9;0,02695;Bom Jesus De Goiás;1;16165;0,2199;Centro-Oeste;468,04;87,26;0,5134;Goiás;0,57;0,363;0,782;0,654
2010;0,701;0,47;8,73;76,59;0,01314;Bom Jesus De Goiás;1;20521;0,1408;Centro-Oeste;618,62;87,78;0,4385;Goiás;0,701;0,573;0,86;0,699
1991;0;0,57;6,87;67,12;0,02747;Caiapônia;1;13628;0,3247;Centro-Oeste;331,63;92,57;0,5709;Goiás;0,442;0,206;0,702;0,599
2000;0;0,55;8,47;71,99;0,02674;Caiapônia;1;14162;0,2441;Centro-Oeste;372,39;80,91;0,5183;Goiás;0,562;0,367;0,783;0,617
2010;0,693;0,52;9,75;73,46;0,01815;Caiapônia;1;16430;0,1823;Centro-Oeste;628,14;81,68;0,4261;Goiás;0,693;0,588;0,808;0,701
1991;0;0,54;8,53;65,92;0,03103;Caldas Novas;1;23490;0,1597;Centro-Oeste;457,3;86,56;0,5649;Goiás;0,497;0,277;0,682;0,65
2000;0;0,6;9,13;70,32;0,0309;Caldas Novas;1;49058;0,107;Centro-Oeste;698,72;79,1;0,5026;Goiás;0,623;0,446;0,755;0,718
2010;0,733;0,49;10,48;74,89;0,01725;Caldas Novas;1;69852;0,0693;Centro-Oeste;794,78;77,35;0,4361;Goiás;0,733;0,64;0,832;0,739
1991;0;0,59;7,8;62,54;0,04243;Campos Belos;1;14624;0,3943;Centro-Oeste;266,41;85,61;0,8546;Goiás;0,408;0,192;0,626;0,563
2000;0;0,6;8,26;68,22;0,03671;Campos Belos;1;16919;0,2845;Centro-Oeste;290,2;84,67;0,6365;Goiás;0,511;0,322;0,72;0,577
2010;0,692;0,55;9,79;73,87;0,01743;Campos Belos;1;18340;0,1991;Centro-Oeste;487,96;80;0,4998;Goiás;0,692;0,616;0,815;0,661
1991;0;0,56;9,7;67,62;0,02796;Catalão;1;54339;0,1905;Centro-Oeste;389,29;90,36;0,5844;Goiás;0,533;0,341;0,71;0,624
2000;0;0,55;9,99;73,43;0,02345;Catalão;1;63914;0,1151;Centro-Oeste;600,38;80,11;0,4529;Goiás;0,662;0,519;0,807;0,694
2010;0,766;0,51;10,01;74,12;0,01545;Catalão;1;86253;0,0687;Centro-Oeste;959,4;83,03;0,3846;Goiás;0,766;0,715;0,819;0,769
1991;0;0,6;9,09;67,02;0,02776;Ceres;1;18791;0,2197;Centro-Oeste;456,24;89,19;0,5663;Goiás;0,543;0,351;0,7;0,65
2000;0;0,58;9,82;73,15;0,02406;Ceres;1;19184;0,1466;Centro-Oeste;584,82;79,96;0,4869;Goiás;0,654;0,504;0,803;0,69
2010;0,775;0,53;10,77;75,49;0,01464;Ceres;1;20620;0,0939;Centro-Oeste;865,23;77,57;0,4049;Goiás;0,775;0,733;0,842;0,753
1991;0;0,48;8,72;67,6;0,02613;Cidade Ocidental;1;28461;0,1043;Centro-Oeste;457;86,3;0,6951;Goiás;0,538;0,338;0,71;0,65
2000;0;0,49;9,31;72,79;0,02488;Cidade Ocidental;1;39881;0,0879;Centro-Oeste;516,37;83,48;0,554;Goiás;0,638;0,486;0,797;0,67
2010;0,717;0,5;9,79;73,82;0,01751;Cidade Ocidental;1;55757;0,0696;Centro-Oeste;647,64;85,62;0,4835;Goiás;0,717;0,641;0,814;0,706
1991;0;0,59;8,38;62,92;0,04107;Cocalzinho De Goiás;1;10652;0,3996;Centro-Oeste;240,65;88,64;0,7529;Goiás;0,363;0,138;0,632;0,547
2000;0;0,51;8,32;69,11;0,03417;Cocalzinho De Goiás;1;14344;0,2715;Centro-Oeste;272,38;78,44;0,5848;Goiás;0,506;0,31;0,735;0,567
2010;0,657;0,47;8,82;74,55;0,01629;Cocalzinho De Goiás;1;17140;0,1608;Centro-Oeste;450,47;77,73;0,4989;Goiás;0,657;0,531;0,826;0,648
1991;0;0,52;8,31;66,94;0,02807;Cristalina;1;24419;0,2347;Centro-Oeste;307,52;92,31;0,6798;Goiás;0,474;0,26;0,699;0,586
2000;0;0,58;8,25;72,25;0,02613;Cristalina;1;33402;0,178;Centro-Oeste;444,33;81,83;0,598;Goiás;0,578;0,38;0,788;0,646
2010;0,699;0,57;9,46;73,84;0,01917;Cristalina;1;45730;0,1169;Centro-Oeste;686,9;79,56;0,4983;Goiás;0,699;0,587;0,814;0,716
1991;0;0,65;8,77;66,06;0,03059;Formosa;1;58898;0,2511;Centro-Oeste;405,06;98,72;0,742;Goiás;0,482;0,259;0,684;0,631
2000;0;0,61;8,47;71,54;0,02782;Formosa;1;77166;0,1837;Centro-Oeste;466,29;83,37;0,5856;Goiás;0,598;0,422;0,776;0,653
2010;0,744;0,56;10,25;76,14;0,01218;Formosa;1;98932;0,1123;Centro-Oeste;732,24;86,22;0,4699;Goiás;0,744;0,666;0,852;0,726
1991;0;0,52;8,24;65,2;0,03327;Goianésia;1;42965;0,2876;Centro-Oeste;305,77;91,97;0,6218;Goiás;0,448;0,229;0,67;0,585
2000;0;0,53;9,05;69,92;0,03196;Goianésia;1;48569;0,2009;Centro-Oeste;401,84;82,87;0,5295;Goiás;0,571;0,396;0,749;0,629
2010;0,727;0,47;10,21;75,39;0,01495;Goianésia;1;59125;0,1284;Centro-Oeste;701,38;83,9;0,4342;Goiás;0,727;0,636;0,84;0,719
1991;0;0,57;9,14;68,06;0,02685;Goiânia;1;901398;0,1097;Centro-Oeste;693,72;85,23;0,531;Goiás;0,6;0,42;0,718;0,717
2000;0;0,61;10,09;72,73;0,02461;Goiânia;1;1081829;0,0683;Centro-Oeste;1001,94;80,13;0,4328;Goiás;0,715;0,591;0,796;0,776
2010;0,799;0,58;10,08;75,28;0,01497;Goiânia;1;1297161;0,041;Centro-Oeste;1348,55;77,47;0,3717;Goiás;0,799;0,739;0,838;0,824
1991;0;0,44;8,13;64,69;0,0349;Goianira;1;11561;0,281;Centro-Oeste;233,13;91,85;0,6507;Goiás;0,416;0,2;0,662;0,542
2000;0;0,47;8,52;69,28;0,03369;Goianira;1;19378;0,1736;Centro-Oeste;365,72;81,4;0,5334;Goiás;0,566;0,401;0,738;0,614
2010;0,694;0,39;9,38;74,87;0,01576;Goianira;1;33838;0,1041;Centro-Oeste;529,59;86,62;0,452;Goiás;0,694;0,596;0,831;0,674
1991;0;0,57;7,39;63,73;0,03819;Goiás;1;27143;0,3022;Centro-Oeste;297,79;80,32;0,642;Goiás;0,441;0,229;0,646;0,581
2000;0;0,52;8,7;70,56;0,03029;Goiás;1;26642;0,2077;Centro-Oeste;392,11;78,28;0,5044;Goiás;0,563;0,376;0,759;0,625
2010;0,709;0,52;10,28;73,27;0,02029;Goiás;1;24551;0,16;Centro-Oeste;674,54;72,05;0,4414;Goiás;0,709;0,621;0,805;0,713
1991;0;0,56;8,81;68,4;0,02403;Goiatuba;1;29665;0,2543;Centro-Oeste;438,73;87,55;0,5706;Goiás;0,49;0,252;0,723;0,644
2000;0;0,65;9,11;73,52;0,02325;Goiatuba;1;30912;0,1558;Centro-Oeste;667,28;86,22;0,4913;Goiás;0,628;0,43;0,809;0,711
2010;0,725;0,5;9,82;74,47;0,01303;Goiatuba;1;32149;0,1152;Centro-Oeste;785,84;80,25;0,4499;Goiás;0,725;0,627;0,825;0,737
1991;0;0,53;7,85;66,24;0,0301;Inhumas;1;38034;0,2538;Centro-Oeste;369,65;90,76;0,5802;Goiás;0,49;0,278;0,687;0,616
2000;0;0,56;8,41;72,98;0,02444;Inhumas;1;43436;0,1732;Centro-Oeste;511,17;83,68;0,482;Goiás;0,616;0,437;0,8;0,668
2010;0,72;0,45;9,67;75,49;0,0148;Inhumas;1;47701;0,1238;Centro-Oeste;697,81;79,94;0,407;Goiás;0,72;0,618;0,842;0,718
1991;0;0,53;7,57;65,95;0,03164;Ipameri;1;20595;0,2376;Centro-Oeste;312,38;85,67;0,5779;Goiás;0,476;0,268;0,683;0,589
2000;0;0,48;8,87;70,28;0,031;Ipameri;1;22295;0,1462;Centro-Oeste;420,49;72,31;0,5248;Goiás;0,574;0,394;0,755;0,637
2010;0,701;0,49;9,76;74,39;0,01656;Ipameri;1;24531;0,1189;Centro-Oeste;666,96;71,49;0,4467;Goiás;0,701;0,588;0,823;0,711
1991;0;0,59;7,68;63,33;0,03967;Itaberaí;1;24695;0,3024;Centro-Oeste;321,14;90,68;0,6177;Goiás;0,436;0,218;0,639;0,593
2000;0;0,63;8,58;70,76;0,02977;Itaberaí;1;26907;0,2227;Centro-Oeste;515,86;86,19;0,5023;Goiás;0,589;0,399;0,763;0,67
2010;0,719;0,55;10,02;74,65;0,01613;Itaberaí;1;35260;0,1325;Centro-Oeste;773,67;72,11;0,4168;Goiás;0,719;0,61;0,828;0,735
1991;0;0,62;7,39;63,61;0,03866;Itapaci;1;12487;0,2889;Centro-Oeste;316,6;89,9;0,6136;Goiás;0,417;0,191;0,644;0,591
2000;0;0,52;9,23;70,39;0,0307;Itapaci;1;13717;0,2087;Centro-Oeste;340,41;79,86;0,5486;Goiás;0,557;0,378;0,757;0,603
2010;0,725;0,56;10,64;75,61;0,01461;Itapaci;1;18336;0,1636;Centro-Oeste;705,2;80,56;0,4584;Goiás;0,725;0,626;0,844;0,72
1991;0;0,55;8,39;65,18;0,03336;Itapuranga;1;27456;0,3431;Centro-Oeste;273,2;90,96;0,5973;Goiás;0,454;0,247;0,67;0,567
2000;0;0,61;9,54;71,29;0,02844;Itapuranga;1;26403;0,2479;Centro-Oeste;435,65;81,19;0,4978;Goiás;0,593;0,42;0,772;0,642
2010;0,726;0,48;10,54;75,22;0,01521;Itapuranga;1;25988;0,1752;Centro-Oeste;621,79;77,59;0,4257;Goiás;0,726;0,653;0,837;0,7
1991;0;0,55;9;68,06;0,02677;Itumbiara;1;73589;0,2258;Centro-Oeste;438,82;90,01;0,544;Goiás;0,518;0,301;0,718;0,644
2000;0;0,55;10,12;73,9;0,02243;Itumbiara;1;80725;0,1548;Centro-Oeste;570,5;82,67;0,4673;Goiás;0,656;0,505;0,815;0,686
2010;0,752;0,49;10,11;75,3;0,01526;Itumbiara;1;92229;0,0968;Centro-Oeste;821,43;80,29;0,41;Goiás;0,752;0,682;0,838;0,744
1991;0;0,56;7,8;64,19;0,03663;Jaraguá;1;27949;0,3155;Centro-Oeste;243,23;88,65;0,6248;Goiás;0,393;0,169;0,653;0,549
2000;0;0,52;7,6;68,47;0,03598;Jaraguá;1;32979;0,195;Centro-Oeste;381,84;83,81;0,5241;Goiás;0,56;0,39;0,725;0,621
2010;0,699;0,45;9,3;75,43;0,01488;Jaraguá;1;41740;0,1228;Centro-Oeste;595,02;82,79;0,46;Goiás;0,699;0,588;0,841;0,692
1991;0;0,6;8,2;68,06;0,0268;Jataí;1;61772;0,2303;Centro-Oeste;459,75;89,74;0,6358;Goiás;0,497;0,262;0,718;0,651
2000;0;0,58;8,92;73,94;0,02233;Jataí;1;74808;0,1484;Centro-Oeste;606,33;85,76;0,5222;Goiás;0,627;0,435;0,816;0,696
2010;0,757;0,55;9,65;76,35;0,01332;Jataí;1;87041;0,0897;Centro-Oeste;987,04;86,44;0,4512;Goiás;0,757;0,656;0,856;0,774
1991;0;0,55;8,17;64,88;0,03423;Luziânia;1;77628;0,2633;Centro-Oeste;365,95;91,59;0,7172;Goiás;0,43;0,195;0,665;0,614
2000;0;0,56;8,21;71,74;0,02732;Luziânia;1;139178;0,1612;Centro-Oeste;425,48;81,87;0,6145;Goiás;0,55;0,334;0,779;0,639
2010;0,701;0,5;9,02;74,86;0,01454;Luziânia;1;173474;0,1042;Centro-Oeste;580,88;83,13;0,5043;Goiás;0,701;0,602;0,831;0,689
1991;0;0,55;7,3;65,54;0,03217;Minaçu;1;31663;0,2787;Centro-Oeste;281,87;94,01;0,6864;Goiás;0,434;0,211;0,676;0,572
2000;0;0,54;8,01;71,3;0,0284;Minaçu;1;33358;0,1994;Centro-Oeste;375,51;82,34;0,5397;Goiás;0,559;0,365;0,772;0,619
2010;0,707;0,52;9,83;73,18;0,02047;Minaçu;1;30927;0,1722;Centro-Oeste;590,7;72,85;0,4482;Goiás;0,707;0,637;0,803;0,691
1991;0;0,63;7,1;68,09;0,02564;Mineiros;1;30650;0,2291;Centro-Oeste;520,98;93,67;0,6418;Goiás;0,479;0,228;0,718;0,671
2000;0;0,59;8,12;72,49;0,02556;Mineiros;1;38514;0,1757;Centro-Oeste;574,37;86,61;0,5465;Goiás;0,59;0,378;0,792;0,687
2010;0,718;0,55;8,66;75,41;0,01491;Mineiros;1;52588;0,0977;Centro-Oeste;869,04;84,36;0,4231;Goiás;0,718;0,584;0,84;0,753
1991;0;0,49;7,87;65,54;0,03224;Nerópolis;1;12901;0,264;Centro-Oeste;293,96;91,31;0,624;Goiás;0,461;0,25;0,676;0,579
2000;0;0,54;9,49;71,62;0,02763;Nerópolis;1;18369;0,1804;Centro-Oeste;458,18;82,52;0,5309;Goiás;0,616;0,462;0,777;0,65
2010;0,721;0,42;9,31;74,2;0,01687;Nerópolis;1;24095;0,1097;Centro-Oeste;555,47;82,88;0,4345;Goiás;0,721;0,671;0,82;0,681
1991;0;0,54;7,17;63,8;0,03798;Niquelândia;1;40319;0,3464;Centro-Oeste;241,99;94,47;0,7567;Goiás;0,374;0,147;0,647;0,548
2000;0;0,62;8,82;69,95;0,03187;Niquelândia;1;38146;0,2398;Centro-Oeste;397,1;86,55;0,5652;Goiás;0,555;0,365;0,749;0,627
2010;0,715;0,53;10,73;73,34;0,01835;Niquelândia;1;41581;0,1585;Centro-Oeste;659,49;83,01;0,4643;Goiás;0,715;0,64;0,806;0,709
1991;0;0,47;8,22;64,67;0,03492;Novo Gama;1;48547;0,2394;Centro-Oeste;313,15;92,29;0,756;Goiás;0,451;0,235;0,661;0,589
2000;0;0,5;7,83;69,07;0,03426;Novo Gama;1;74017;0,1587;Centro-Oeste;377,16;83,81;0,6231;Goiás;0,546;0,357;0,735;0,619
2010;0,684;0,46;9,05;76,06;0,01282;Novo Gama;1;94781;0,0887;Centro-Oeste;498,44;84,88;0,504;Goiás;0,684;0,567;0,851;0,664
1991;0;0,56;7,46;65,95;0,03096;Orizona;1;12322;0,2341;Centro-Oeste;241,56;92,25;0,582;Goiás;0,402;0,174;0,683;0,548
2000;0;0,55;8,36;70,67;0,02999;Orizona;1;12953;0,1485;Centro-Oeste;476,94;86,12;0,5157;Goiás;0,577;0,385;0,761;0,657
2010;0,715;0,51;9,58;74,64;0,01614;Orizona;1;14260;0,1002;Centro-Oeste;714,39;80,73;0,4421;Goiás;0,715;0,612;0,827;0,722
1991;0;0,52;6,94;63,88;0,03766;Padre Bernardo;1;16270;0,3678;Centro-Oeste;199,75;88,53;0,8029;Goiás;0,346;0,124;0,648;0,517
2000;0;0,61;7,98;68,68;0,03537;Padre Bernardo;1;21347;0,2619;Centro-Oeste;331,05;75,15;0,6528;Goiás;0,484;0,261;0,728;0,598
2010;0,651;0,56;8,61;73,04;0,01888;Padre Bernardo;1;27440;0,1826;Centro-Oeste;518,12;67,59;0,5737;Goiás;0,651;0,515;0,801;0,67
1991;0;0,54;8,3;67,02;0,02782;Palmeiras De Goiás;1;16529;0,2868;Centro-Oeste;327,13;91,08;0,5747;Goiás;0,484;0,272;0,7;0,596
2000;0;0,51;9,47;72,56;0,02541;Palmeiras De Goiás;1;17417;0,1745;Centro-Oeste;363,59;82,11;0,4873;Goiás;0,606;0,457;0,793;0,613
2010;0,698;0,44;9,22;73,87;0,01743;Palmeiras De Goiás;1;23225;0,1229;Centro-Oeste;616,59;79,89;0,4078;Goiás;0,698;0,598;0,815;0,698
1991;0;0,63;8,98;65,95;0,03098;Piracanjuba;1;21526;0,2137;Centro-Oeste;407,22;90,53;0,5631;Goiás;0,474;0,246;0,683;0,632
2000;0;0,54;8,95;70,99;0,02918;Piracanjuba;1;23270;0,1701;Centro-Oeste;490,75;81,41;0,4807;Goiás;0,577;0,378;0,767;0,662
2010;0,721;0,47;9,98;77,21;0,01339;Piracanjuba;1;23913;0,1206;Centro-Oeste;707,83;79,19;0,4528;Goiás;0,721;0,599;0,87;0,72
1991;0;0,63;7,52;64,99;0,03395;Pirenópolis;1;20685;0,3264;Centro-Oeste;292,96;68,08;0,6416;Goiás;0,388;0,151;0,667;0,579
2000;0;0,55;8,33;70,91;0,02937;Pirenópolis;1;20787;0,2202;Centro-Oeste;356,28;75,84;0,5517;Goiás;0,565;0,387;0,765;0,61
2010;0,693;0,49;9,51;73,78;0,0193;Pirenópolis;1;22799;0,1345;Centro-Oeste;544,78;79,36;0,4714;Goiás;0,693;0,604;0,813;0,678
1991;0;0,55;9,52;67,02;0,02925;Pires Do Rio;1;21874;0,1993;Centro-Oeste;376,49;82,13;0,5672;Goiás;0,507;0,3;0,7;0,619
2000;0;0,59;9,82;71,6;0,02768;Pires Do Rio;1;26067;0,1285;Centro-Oeste;619,95;79,62;0,493;Goiás;0,641;0,484;0,777;0,699
2010;0,744;0,45;9,48;77,79;0,01251;Pires Do Rio;1;28628;0,0946;Centro-Oeste;702,46;78,09;0,4371;Goiás;0,744;0,65;0,88;0,719
1991;0;0,45;7,09;64,39;0,03593;Planaltina;1;40065;0,3286;Centro-Oeste;251,86;89,31;0,7764;Goiás;0,384;0,156;0,657;0,554
2000;0;0,55;7,81;70,59;0,0302;Planaltina;1;73082;0,2089;Centro-Oeste;338,63;77,68;0,6562;Goiás;0,508;0,286;0,76;0,602
2010;0,669;0,43;9,25;73,62;0,01728;Planaltina;1;81297;0,1338;Centro-Oeste;466,69;84,55;0,5136;Goiás;0,669;0,566;0,81;0,653
1991;0;0,58;9,16;67,02;0,02925;Pontalina;1;15080;0,2945;Centro-Oeste;362,4;87,45;0,5798;Goiás;0,484;0,264;0,7;0,613
2000;0;0,7;9,57;71,74;0,02733;Pontalina;1;16344;0,1957;Centro-Oeste;777,53;86,36;0,5036;Goiás;0,626;0,429;0,779;0,735
2010;0,687;0,54;9,09;75,08;0,01543;Pontalina;1;17007;0,1676;Centro-Oeste;663,44;74,41;0,4601;Goiás;0,687;0,547;0,835;0,71
1991;0;0,56;7,97;65,54;0,03219;Porangatu;1;38265;0,2656;Centro-Oeste;301,54;88,94;0,6813;Goiás;0,456;0,24;0,676;0,583
2000;0;0,71;9,27;70,55;0,0303;Porangatu;1;39320;0,1975;Centro-Oeste;602,11;86,81;0,5538;Goiás;0,602;0,415;0,759;0,694
2010;0,727;0,56;9,66;75,69;0,01449;Porangatu;1;42193;0,1341;Centro-Oeste;658,39;73,49;0,4657;Goiás;0,727;0,642;0,845;0,709
1991;0;0,6;6,76;64,51;0,03552;Posse;1;23344;0,457;Centro-Oeste;216,15;90,59;0,8369;Goiás;0,34;0,113;0,659;0,53
2000;0;0,58;7,62;69,87;0,03208;Posse;1;25975;0,3187;Centro-Oeste;301,18;79,68;0,6399;Goiás;0,503;0,292;0,748;0,583
2010;0,659;0,54;9,05;74,14;0,01697;Posse;1;31229;0,2015;Centro-Oeste;481,68;79,5;0,5045;Goiás;0,659;0,53;0,819;0,659
1991;0;0,57;8,98;65,92;0,03098;Quirinópolis;1;33890;0,2472;Centro-Oeste;372,52;90,96;0,5606;Goiás;0,473;0,251;0,682;0,617
2000;0;0,55;9,8;72,24;0,02614;Quirinópolis;1;36214;0,1838;Centro-Oeste;483,03;86,35;0,4874;Goiás;0,613;0,445;0,787;0,659
2010;0,74;0,46;9,78;76,76;0,01409;Quirinópolis;1;42684;0,1222;Centro-Oeste;761,68;83,83;0,424;Goiás;0,74;0,642;0,863;0,732
1991;0;0,56;8,29;66,24;0,02956;Rio Verde;1;88334;0,2403;Centro-Oeste;424,9;90,88;0,6067;Goiás;0,488;0,265;0,687;0,638
2000;0;0,6;9,1;73,13;0,02777;Rio Verde;1;115121;0,1492;Centro-Oeste;675,96;82,86;0,4991;Goiás;0,633;0,444;0,802;0,713
2010;0,754;0,54;9,62;76,17;0,01374;Rio Verde;1;175474;0,0838;Centro-Oeste;936,75;86,75;0,3999;Goiás;0,754;0,656;0,853;0,765
1991;0;0,52;8,24;63,42;0,03931;Rubiataba;1;16428;0,267;Centro-Oeste;260,8;88,04;0,5761;Goiás;0,438;0,234;0,64;0,56
2000;0;0,5;9,83;68,75;0,03517;Rubiataba;1;17913;0,1903;Centro-Oeste;396,18;76,99;0,5169;Goiás;0,592;0,455;0,729;0,627
2010;0,719;0,43;11,19;73,82;0,01751;Rubiataba;1;18768;0,1259;Centro-Oeste;573;77,13;0,4504;Goiás;0,719;0,666;0,814;0,686
1991;0;0,53;8,1;65,69;0,0317;Santa Helena De Goiás;1;32723;0,2878;Centro-Oeste;375,79;93,29;0,6218;Goiás;0,477;0,259;0,678;0,619
2000;0;0,51;9,47;70,98;0,02921;Santa Helena De Goiás;1;34301;0,2261;Centro-Oeste;433,79;86,31;0,5035;Goiás;0,582;0,4;0,766;0,642
2010;0,724;0,53;9,51;74,4;0,01653;Santa Helena De Goiás;1;36219;0,1549;Centro-Oeste;769,09;83,76;0,4337;Goiás;0,724;0,627;0,823;0,734
1991;0;0,44;7,17;65,12;0,03355;Santo Antônio Do Descoberto;1;32898;0,2996;Centro-Oeste;259,44;88,33;0,7971;Goiás;0,409;0,183;0,669;0,559
2000;0;0,48;7,92;70,31;0,03092;Santo Antônio Do Descoberto;1;51385;0,2145;Centro-Oeste;287,76;77,57;0,6542;Goiás;0,526;0,334;0,755;0,576
2010;0,665;0,45;8,83;74,07;0,01709;Santo Antônio Do Descoberto;1;63019;0,1196;Centro-Oeste;449,39;83,97;0,5301;Goiás;0,665;0,556;0,818;0,647
1991;0;0,48;9,51;65,57;0,03211;São Luís De Montes Belos;1;24723;0,2535;Centro-Oeste;317,88;86,12;0,5608;Goiás;0,497;0,306;0,676;0,592
2000;0;0,56;9,75;71,15;0,02878;São Luís De Montes Belos;1;26075;0,1742;Centro-Oeste;476,71;79,6;0,4944;Goiás;0,624;0,48;0,769;0,657
2010;0,731;0,48;10,04;73,55;0,01799;São Luís De Montes Belos;1;29833;0,1217;Centro-Oeste;712,23;77,44;0,4174;Goiás;0,731;0,67;0,809;0,721
1991;0;0,6;7,07;63,73;0,03815;São Miguel Do Araguaia;1;18938;0,3164;Centro-Oeste;312,45;93,9;0,6314;Goiás;0,439;0,223;0,646;0,589
2000;0;0,6;8,49;68,41;0,03615;São Miguel Do Araguaia;1;22212;0,2457;Centro-Oeste;461,88;81,66;0,5281;Goiás;0,548;0,349;0,724;0,652
2010;0,664;0,45;8,36;74,1;0,01704;São Miguel Do Araguaia;1;22119;0,1529;Centro-Oeste;507,02;81,49;0,4504;Goiás;0,664;0,536;0,818;0,667
1991;0;0,41;7,45;64,39;0,03587;Senador Canedo;1;21692;0,3096;Centro-Oeste;208;90;0,7476;Goiás;0,365;0,141;0,657;0,524
